SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
37082_3#30,52.10197586295613,Rural,21.978355681929937,Rural,0.8006938704588533,Rural,Rural
37082_3#31,42.569524035834505,Rural,16.797395317328842,Rural,0.6526774293852686,Rural,Rural
37082_3#32,79.55292732240744,Urban,11.846489007041502,Rural,1.1940378670080978,Urban,Rural
37082_3#3,33.65120922197941,Rural,12.763832309383796,Rural,0.5152657279631504,Rural,Rural
37082_3#4,66.90048638746372,Rural,13.737735239697017,Rural,1.0090917217970137,Rural,Rural
37082_3#5,78.28210007163283,Urban,11.473229911880448,Rural,1.174721876011753,Urban,Rural
37082_3#6,70.87668786490286,Urban,11.212775771471602,Rural,1.064677780934417,Urban,Rural
37082_3#7,37.06683470741429,Rural,16.98701400799976,Rural,0.5714109672717544,Rural,Rural
37082_3#8,28.445452564355513,Rural,16.17124137522676,Rural,0.4426243964191756,Rural,Rural
37082_3#9,45.63674333209622,Rural,16.807905496945654,Rural,0.6981282844759924,Rural,Rural
