number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
159,0.5422452609845488,2024-12-18 23:48:10.379650,2024-12-18 23:48:10.489621,0 days 00:00:00.109971,kmeans,abundance,1.5,9,COMPLETE
160,0.4403735800622907,2024-12-18 23:48:10.490887,2024-12-18 23:48:10.601252,0 days 00:00:00.110365,kmeans,abundance,1.3,10,COMPLETE
161,0.6437928426212691,2024-12-18 23:48:10.602484,2024-12-18 23:48:10.715684,0 days 00:00:00.113200,kmeans,abundance,1.7000000000000002,10,COMPLETE
162,0.5902565860571368,2024-12-18 23:48:10.717046,2024-12-18 23:48:10.827138,0 days 00:00:00.110092,kmeans,abundance,1.7000000000000002,10,COMPLETE
163,0.5326904777846305,2024-12-18 23:48:10.828498,2024-12-18 23:48:10.935133,0 days 00:00:00.106635,kmeans,abundance,2.0,10,COMPLETE
164,0.5278190076841649,2024-12-18 23:48:10.936487,2024-12-18 23:48:11.045966,0 days 00:00:00.109479,kmeans,abundance,1.8,10,COMPLETE
165,0.5001815422718642,2024-12-18 23:48:11.046949,2024-12-18 23:48:11.157357,0 days 00:00:00.110408,kmeans,abundance,1.7000000000000002,10,COMPLETE
166,0.6072743224863655,2024-12-18 23:48:11.158641,2024-12-18 23:48:11.270117,0 days 00:00:00.111476,kmeans,abundance,1.5,9,COMPLETE
167,0.5636331169206313,2024-12-18 23:48:11.271446,2024-12-18 23:48:11.383951,0 days 00:00:00.112505,kmeans,abundance,1.7000000000000002,10,COMPLETE
168,0.5518150171279426,2024-12-18 23:48:11.385329,2024-12-18 23:48:11.497080,0 days 00:00:00.111751,kmeans,abundance,1.8,6,COMPLETE
169,0.5847938838583057,2024-12-18 23:48:11.498410,2024-12-18 23:48:11.609814,0 days 00:00:00.111404,kmeans,abundance,1.9000000000000001,8,COMPLETE
170,0.54929560288473,2024-12-18 23:48:11.610816,2024-12-18 23:48:11.720596,0 days 00:00:00.109780,kmeans,abundance,1.4000000000000001,7,COMPLETE
